Title,Description,URL
"NESG commends Giving.ng, Shell, others for supporting #NES26","Giving.ng, a crowd-funding platform has been commended by Nigerian Economic Summit Group (NESG) alongside other partners lik ...",https://www.vanguardngr.com/2020/12/nesg-commends-giving-ng-shell-others-for-supporting-nes26/
Why Nigeria’s not preferred investment destination – NESG panelists,"To realise its development goals and attract investment, Nigeria needs leaders with vision and consistent policy decisions that foster public-private sectors partnerships. These were some of the ...",https://www.premiumtimesng.com/business/427744-nes26-why-nigerias-not-preferred-investment-destination-nesg-panelists.html
"How Nigeria’s unpredictable environment hampers investment, by NESG","Asue Ighodalo, has offered an insight into what discourages investors from Nigeria. He observed that the “world does not trust our commitment to the rule of law, impartiality and efficiency of our ...",https://guardian.ng/news/how-nigerias-unpredictable-environment-hampers-investment-by-nesg/
Buhari says COVID-19 caused recession,"The summit was organised jointly by the Nigerian Economic Summit Group (NESG) and the Ministry of Finance, Budget and National Planning. Buhari, who was represented by Vice-President Yemi Osinbajo, ...",https://www.pulse.ng/business/buhari-says-covid-19-caused-recession/hpmmbxy
"Why Nigeria is missing out on $19tn global capital –NESG boss, Ighodalo","The NESG boss noted that peace and stability remain key investment indicators, saying, “We are in competition with many developing countries across the globe for patient capital.” ...",https://www.msn.com/en-xl/news/other/why-nigeria-is-missing-out-on-19tn-global-capital-nesg-boss-ighodalo/ar-BB1bhrgj
NESG Commends FEC for Ratifying AfCFTA,The Nigerian Economic Summit Group (NESG) has commended the Federal Executive Council (FEC) for approving the ratification of the African Continental Free Trade Area Agreement (AfCFTA) on November 11.,https://www.thisdaylive.com/index.php/2020/11/17/nesg-commends-fec-for-ratifying-afcfta/
A Global Agenda Beckons The NESG (II),"as well as the country's top businessmen. Perhaps the best way to challenge the NESG is to set a global agenda for the organization - because if the WEF, driven by Schwab and greatly criticized for ...",https://www.msn.com/en-xl/news/other/a-global-agenda-beckons-the-nesg-ii/ar-BB1adh2X
"A Global Agenda Beckons To the NESG, By ‘Tope Fasua","Perhaps the best way to challenge the NESG is to set a global agenda for the organisation – because if the WEF, driven by Schwab and greatly criticised for its unitary system of decision-making can ...",https://opinion.premiumtimesng.com/2020/10/13/a-global-agenda-beckons-to-the-nesg-by-tope-fasua/
CBN Vs NESG: Waving the white flag for the benefit of Nigerians,"As Nigerians face up to what is likely a fresh round of recession, all stakeholders in the economy must come together to ensure that our economic recovery plans are well thought through, backed by ...",https://nairametrics.com/2020/09/15/cbn-vs-nesg-waving-the-white-flag-for-the-benefit-of-nigerians/
NESG vs CBN: A battle of wits?,"Amidst the series of tough decisions rolled out by President Muhammadu Buhari as the Nigerian economy gasps for breath under the weight of low oil prices and the coronavirus pandemic, ...",https://www.thecable.ng/nesg-vs-cbn-a-battle-of-wits
